"","iteration time","p_Z","gamma","heterogeneity","n_0","n_1","inter_ratio","inter_strength","alpha_modifier","eta_modifier","method","beta_hat","p_power","p_cover"
"66",1,3,0,1,4000,4000,1,1,0,1,"Trans-AIPW",1.03847177527192,NA,NA
"67",2,3,0,1,4000,4000,1,1,0,1,"IVW",0.595706747570627,0,0
"68",2,3,0,1,4000,4000,1,1,0,1,"Egger",0.625675248815454,0,1.21142429421184e-07
"69",2,3,0,1,4000,4000,1,1,0,1,"Weighted median",0.592065368799443,0,0
"70",2,3,0,1,4000,4000,1,1,0,1,"Weighted mode",0.586290296732613,0,0
"71",2,3,0,1,4000,4000,1,1,0,1,"MR-RAPS",0.595142957737598,0,0
"72",2,3,0,1,4000,4000,1,1,0,1,"Contamination Mixture",0.594738810520354,0,0
"73",2,3,0,1,4000,4000,1,1,0,1,"MR-Robust",0.595277125081162,0,0
"74",2,3,0,1,4000,4000,1,1,0,1,"MR-Lasso",0.595706747570627,0,0
"75",2,3,0,1,4000,4000,1,1,0,1,"Trans-OR",1.02548197416644,NA,NA
"76",2,3,0,1,4000,4000,1,1,0,1,"Trans-IPW",1.02521945159844,NA,NA
"77",2,3,0,1,4000,4000,1,1,0,1,"Trans-AIPW",1.02521945159844,NA,NA
"78",3,3,0,1,4000,4000,1,1,0,1,"IVW",0.573172521836615,0,0
"79",3,3,0,1,4000,4000,1,1,0,1,"Egger",0.551194228348544,3.55266926987952e-11,6.98292630385566e-08
"80",3,3,0,1,4000,4000,1,1,0,1,"Weighted median",0.573827587879489,0,0
"81",3,3,0,1,4000,4000,1,1,0,1,"Weighted mode",0.557865506375918,0,0
"82",3,3,0,1,4000,4000,1,1,0,1,"MR-RAPS",0.572303232116182,0,0
"83",3,3,0,1,4000,4000,1,1,0,1,"Contamination Mixture",0.577357636424358,0,0
"84",3,3,0,1,4000,4000,1,1,0,1,"MR-Robust",0.573221920549002,0,0
"85",3,3,0,1,4000,4000,1,1,0,1,"MR-Lasso",0.573172521836615,0,0
"86",3,3,0,1,4000,4000,1,1,0,1,"Trans-OR",0.984041178039808,NA,NA
"87",3,3,0,1,4000,4000,1,1,0,1,"Trans-IPW",0.97851045696592,NA,NA
"88",3,3,0,1,4000,4000,1,1,0,1,"Trans-AIPW",0.978510456965921,NA,NA
"89",4,3,0,1,4000,4000,1,1,0,1,"IVW",0.600044662407217,0,0
"90",4,3,0,1,4000,4000,1,1,0,1,"Egger",0.739045194667117,1.05518188187048e-07,0.0604630150882737
"91",4,3,0,1,4000,4000,1,1,0,1,"Weighted median",0.596997882308123,0,0
"92",4,3,0,1,4000,4000,1,1,0,1,"Weighted mode",0.595703861526291,0,0
"93",4,3,0,1,4000,4000,1,1,0,1,"MR-RAPS",0.59965802889845,0,0
"94",4,3,0,1,4000,4000,1,1,0,1,"Contamination Mixture",0.604790118758716,0,5.75068925812161e-09
"95",4,3,0,1,4000,4000,1,1,0,1,"MR-Robust",0.599866507081614,0,0
"96",4,3,0,1,4000,4000,1,1,0,1,"MR-Lasso",0.600044662407217,0,0
"97",4,3,0,1,4000,4000,1,1,0,1,"Trans-OR",1.03717565018669,NA,NA
"98",4,3,0,1,4000,4000,1,1,0,1,"Trans-IPW",1.03218416882325,NA,NA
"99",4,3,0,1,4000,4000,1,1,0,1,"Trans-AIPW",1.03218416882325,NA,NA
"100",5,3,0,1,4000,4000,1,1,0,1,"IVW",0.537350125389367,0,0
"101",5,3,0,1,4000,4000,1,1,0,1,"Egger",0.44709272235378,2.99809732595691e-10,6.66133814775094e-15
"102",5,3,0,1,4000,4000,1,1,0,1,"Weighted median",0.532296974848346,0,0
"103",5,3,0,1,4000,4000,1,1,0,1,"Weighted mode",0.530430843146727,0,0
"104",5,3,0,1,4000,4000,1,1,0,1,"MR-RAPS",0.537940497684426,0,0
"105",5,3,0,1,4000,4000,1,1,0,1,"Contamination Mixture",0.538776179433418,0,0
"106",5,3,0,1,4000,4000,1,1,0,1,"MR-Robust",0.536949164357153,0,0
"107",5,3,0,1,4000,4000,1,1,0,1,"MR-Lasso",0.537350125389367,0,0
"108",5,3,0,1,4000,4000,1,1,0,1,"Trans-OR",0.959742802685489,NA,NA
"109",5,3,0,1,4000,4000,1,1,0,1,"Trans-IPW",0.953783045918727,NA,NA
"110",5,3,0,1,4000,4000,1,1,0,1,"Trans-AIPW",0.953783045918727,NA,NA
"111",1,3,0,1,6000,6000,1,1,0,1,"IVW",0.561644177672584,0,0
"112",1,3,0,1,6000,6000,1,1,0,1,"Egger",0.732318566195137,2.59348168052398e-07,0.0597330600912596
"113",1,3,0,1,6000,6000,1,1,0,1,"Weighted median",0.568938454370367,0,0
"114",1,3,0,1,6000,6000,1,1,0,1,"Weighted mode",0.576814265589452,0,0
"115",1,3,0,1,6000,6000,1,1,0,1,"MR-RAPS",0.567672681784208,0,0
"116",1,3,0,1,6000,6000,1,1,0,1,"Contamination Mixture",0.56331924792608,8.88178419700125e-16,4.23173274199939e-10
"117",1,3,0,1,6000,6000,1,1,0,1,"MR-Robust",0.562035198073167,0,0
"118",1,3,0,1,6000,6000,1,1,0,1,"MR-Lasso",0.561644177672584,0,0
"119",1,3,0,1,6000,6000,1,1,0,1,"Trans-OR",0.949095191452272,NA,NA
"120",1,3,0,1,6000,6000,1,1,0,1,"Trans-IPW",0.944575664421576,NA,NA
"121",1,3,0,1,6000,6000,1,1,0,1,"Trans-AIPW",0.944575664421576,NA,NA
"122",2,3,0,1,6000,6000,1,1,0,1,"IVW",0.590147168120444,0,0
"123",2,3,0,1,6000,6000,1,1,0,1,"Egger",0.640460733268837,0.000169927036433482,0.034792743845905
"124",2,3,0,1,6000,6000,1,1,0,1,"Weighted median",0.575084373822904,0,0
"125",2,3,0,1,6000,6000,1,1,0,1,"Weighted mode",0.623425665285222,0,0
"126",2,3,0,1,6000,6000,1,1,0,1,"MR-RAPS",0.588554631221862,0,0
"127",2,3,0,1,6000,6000,1,1,0,1,"Contamination Mixture",0.59214744797826,0,1.10138564934914e-11
"128",2,3,0,1,6000,6000,1,1,0,1,"MR-Robust",0.554039098185912,0,0
"129",2,3,0,1,6000,6000,1,1,0,1,"MR-Lasso",0.590147168120444,0,0
"130",2,3,0,1,6000,6000,1,1,0,1,"Trans-OR",0.995328521868819,NA,NA
"131",2,3,0,1,6000,6000,1,1,0,1,"Trans-IPW",0.992852653814992,NA,NA
"132",2,3,0,1,6000,6000,1,1,0,1,"Trans-AIPW",0.992852653814992,NA,NA
"133",3,3,0,1,6000,6000,1,1,0,1,"IVW",0.589214072758837,0,0
