"","max iteration times","p_Z","gamma","heterogeneity","n_0","n_1","inter_ratio","inter_strength","alpha_modifier","eta_modifier","method","index","num"
"70",5,3,0,1,6000,6000,1,1,0,1,"Weighted mode","Bias",-0.407457457250001
"71",5,3,0,1,6000,6000,1,1,0,1,"MR-RAPS","Bias",-0.414222781522375
"72",5,3,0,1,6000,6000,1,1,0,1,"Contamination Mixture","Bias",-0.413453857480903
"73",5,3,0,1,6000,6000,1,1,0,1,"MR-Robust","Bias",-0.423000924826958
"74",5,3,0,1,6000,6000,1,1,0,1,"MR-Lasso","Bias",-0.415905681043961
"75",5,3,0,1,6000,6000,1,1,0,1,"Trans-OR","Bias",-0.00350991475146034
"76",5,3,0,1,6000,6000,1,1,0,1,"Trans-IPW","Bias",-0.00843126729334462
"77",5,3,0,1,6000,6000,1,1,0,1,"Trans-AIPW","Bias",-0.00843126729334505
"78",5,3,0,1,6000,6000,1,1,0,1,"IVW","SD",0.0133162194520859
"79",5,3,0,1,6000,6000,1,1,0,1,"Egger","SD",0.0768392691717785
"80",5,3,0,1,6000,6000,1,1,0,1,"Weighted median","SD",0.0119135187469185
"81",5,3,0,1,6000,6000,1,1,0,1,"Weighted mode","SD",0.019102462735865
"82",5,3,0,1,6000,6000,1,1,0,1,"MR-RAPS","SD",0.0105476589868958
"83",5,3,0,1,6000,6000,1,1,0,1,"Contamination Mixture","SD",0.013558684980069
"84",5,3,0,1,6000,6000,1,1,0,1,"MR-Robust","SD",0.0180723224498295
"85",5,3,0,1,6000,6000,1,1,0,1,"MR-Lasso","SD",0.0133162194520859
"86",5,3,0,1,6000,6000,1,1,0,1,"Trans-OR","SD",0.0355041525712696
"87",5,3,0,1,6000,6000,1,1,0,1,"Trans-IPW","SD",0.0330155344068736
"88",5,3,0,1,6000,6000,1,1,0,1,"Trans-AIPW","SD",0.0330155344068732
"89",5,3,0,1,6000,6000,1,1,0,1,"IVW","MSE",0.173154857225137
"90",5,3,0,1,6000,6000,1,1,0,1,"Egger","MSE",0.117976585878861
"91",5,3,0,1,6000,6000,1,1,0,1,"Weighted median","MSE",0.173234242095537
"92",5,3,0,1,6000,6000,1,1,0,1,"Weighted mode","MSE",0.166386483551212
"93",5,3,0,1,6000,6000,1,1,0,1,"MR-RAPS","MSE",0.171691765842237
"94",5,3,0,1,6000,6000,1,1,0,1,"Contamination Mixture","MSE",0.171127930204227
"95",5,3,0,1,6000,6000,1,1,0,1,"MR-Robust","MSE",0.179256391243192
"96",5,3,0,1,6000,6000,1,1,0,1,"MR-Lasso","MSE",0.173154857225137
"97",5,3,0,1,6000,6000,1,1,0,1,"Trans-OR","MSE",0.00127286435136651
